Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ     
Vardas95       Pavarde95      6    6    10   2    6    5       
Vardas96       Pavarde96      3    5    2    6    3    2       
Vardas97       Pavarde97      5    8    8    1    5    3       
Vardas98       Pavarde98      6    1    10   1    6    6       
Vardas99       Pavarde99      3    9    1    1    9    1       
Vardas100      Pavarde100     10   4    6    8    10   2       
Vardas101      Pavarde101     5    9    2    3    7    2       
Vardas102      Pavarde102     6    10   8    3    3    1       
Vardas103      Pavarde103     3    7    9    3    6    7       
Vardas104      Pavarde104     5    7    5    10   10   4       
Vardas105      Pavarde105     6    3    4    1    6    5       
Vardas106      Pavarde106     9    2    7    6    1    3       
Vardas107      Pavarde107     7    9    10   1    2    8       
Vardas108      Pavarde108     8    7    9    3    9    2       
Vardas109      Pavarde109     6    3    4    9    10   3       
Vardas110      Pavarde110     2    3    9    6    2    7       
Vardas111      Pavarde111     9    3    7    9    9    10      
Vardas112      Pavarde112     2    7    5    3    7    7       
Vardas113      Pavarde113     4    6    2    2    4    4       
Vardas114      Pavarde114     7    5    8    7    3    7       
Vardas115      Pavarde115     3    9    3    4    6    4       
Vardas116      Pavarde116     5    3    10   8    3    2       
Vardas117      Pavarde117     10   3    10   4    5    5       
Vardas118      Pavarde118     5    7    9    2    3    8       
Vardas119      Pavarde119     5    6    4    3    6    8       
Vardas120      Pavarde120     3    10   3    8    1    5       
Vardas121      Pavarde121     6    10   10   9    3    3       
Vardas122      Pavarde122     5    1    2    1    9    8       
Vardas123      Pavarde123     2    4    1    10   7    8       
Vardas124      Pavarde124     9    9    1    2    6    1       
Vardas125      Pavarde125     8    9    5    5    9    9       
Vardas126      Pavarde126     10   8    5    6    3    5       
Vardas127      Pavarde127     5    10   7    4    10   7       
Vardas128      Pavarde128     9    2    9    4    6    10      
Vardas129      Pavarde129     1    1    6    8    9    2       
Vardas130      Pavarde130     6    6    4    8    3    2       
Vardas131      Pavarde131     7    5    5    2    4    5       
Vardas132      Pavarde132     4    2    7    5    1    3       
Vardas133      Pavarde133     9    2    10   10   1    4       
Vardas134      Pavarde134     10   5    5    9    4    9       
Vardas135      Pavarde135     5    3    2    9    9    6       
Vardas136      Pavarde136     5    9    10   4    3    10      
Vardas137      Pavarde137     10   4    7    4    4    10      
Vardas138      Pavarde138     3    7    8    2    2    10      
Vardas139      Pavarde139     1    3    8    8    4    9       
Vardas140      Pavarde140     1    8    2    10   10   7       
Vardas141      Pavarde141     2    10   4    8    5    4       
Vardas142      Pavarde142     8    10   7    9    8    10      
Vardas143      Pavarde143     7    2    9    5    2    6       
Vardas144      Pavarde144     7    5    10   3    10   1       
Vardas145      Pavarde145     10   2    3    6    4    7       
Vardas146      Pavarde146     4    5    1    8    1    5       
Vardas147      Pavarde147     5    4    5    10   4    5       
Vardas148      Pavarde148     7    5    5    1    7    9       
Vardas149      Pavarde149     10   1    3    1    9    10      
Vardas150      Pavarde150     7    4    2    10   8    10      
Vardas151      Pavarde151     6    5    3    1    7    7       
Vardas152      Pavarde152     6    4    5    4    2    8       
Vardas153      Pavarde153     3    2    2    10   3    10      
Vardas154      Pavarde154     7    1    1    7    1    3       
Vardas155      Pavarde155     8    3    5    3    3    8       
Vardas156      Pavarde156     9    4    10   4    9    7       
Vardas157      Pavarde157     6    6    8    1    10   4       
Vardas158      Pavarde158     1    7    3    5    4    9       
Vardas159      Pavarde159     4    4    1    1    4    5       
Vardas160      Pavarde160     1    1    2    3    3    5       
Vardas161      Pavarde161     2    4    2    6    3    9       
Vardas162      Pavarde162     5    4    2    9    3    1       
Vardas163      Pavarde163     9    10   4    9    6    3       
Vardas164      Pavarde164     1    3    2    4    10   10      
Vardas165      Pavarde165     6    9    10   5    6    1       
Vardas166      Pavarde166     10   9    10   5    4    10      
Vardas167      Pavarde167     2    7    4    6    6    2       
Vardas168      Pavarde168     5    9    5    1    5    10      
Vardas169      Pavarde169     7    10   5    5    8    4       
Vardas170      Pavarde170     8    10   5    8    3    10      
Vardas171      Pavarde171     9    10   2    3    1    8       
Vardas172      Pavarde172     8    2    8    8    6    1       
Vardas173      Pavarde173     9    4    10   1    3    7       
Vardas174      Pavarde174     2    9    5    5    4    3       
Vardas175      Pavarde175     2    6    2    5    8    9       
Vardas176      Pavarde176     6    6    4    4    8    7       
Vardas177      Pavarde177     2    5    10   7    6    5       
Vardas178      Pavarde178     4    4    3    6    6    7       
Vardas179      Pavarde179     7    1    8    5    7    9       
Vardas180      Pavarde180     10   7    10   2    3    6       
Vardas181      Pavarde181     6    10   9    3    2    7       
Vardas182      Pavarde182     8    7    2    3    10   6       
Vardas183      Pavarde183     2    5    9    7    5    3       
Vardas184      Pavarde184     1    8    6    8    5    6       
Vardas185      Pavarde185     8    10   7    2    5    2       
Vardas186      Pavarde186     4    6    4    2    1    10      
Vardas187      Pavarde187     8    4    5    4    4    9       
Vardas188      Pavarde188     5    3    9    2    2    5       
Vardas189      Pavarde189     3    2    7    8    5    3       
Vardas190      Pavarde190     8    4    10   9    9    6       
Vardas191      Pavarde191     8    8    10   9    9    8       
Vardas192      Pavarde192     1    7    4    4    1    7       
Vardas193      Pavarde193     1    1    6    4    6    1       
Vardas194      Pavarde194     6    8    9    3    8    9       
Vardas195      Pavarde195     1    8    6    4    10   5       
Vardas196      Pavarde196     5    8    7    10   9    9       
Vardas197      Pavarde197     9    4    9    4    5    5       
Vardas198      Pavarde198     2    6    8    6    7    10      
Vardas199      Pavarde199     4    5    1    4    4    8       
Vardas200      Pavarde200     7    2    5    7    7    10      
Vardas201      Pavarde201     8    4    1    10   9    6       
Vardas202      Pavarde202     10   8    5    8    4    10      
Vardas203      Pavarde203     9    6    4    1    6    8       
Vardas204      Pavarde204     3    7    10   10   8    2       
Vardas205      Pavarde205     8    2    8    1    2    2       
Vardas206      Pavarde206     1    2    7    5    8    2       
Vardas207      Pavarde207     6    8    5    10   7    5       
Vardas208      Pavarde208     6    9    1    8    7    4       
Vardas209      Pavarde209     6    8    4    5    5    7       
Vardas210      Pavarde210     1    10   3    6    10   10      
Vardas211      Pavarde211     5    7    8    10   9    4       
Vardas212      Pavarde212     9    5    7    9    9    1       
Vardas213      Pavarde213     8    8    1    8    5    5       
Vardas214      Pavarde214     7    2    9    5    4    1       
Vardas215      Pavarde215     2    9    4    10   5    10      
Vardas216      Pavarde216     2    2    6    2    10   3       
Vardas217      Pavarde217     1    10   2    1    2    6       
Vardas218      Pavarde218     4    5    2    6    9    1       
Vardas219      Pavarde219     4    4    2    1    3    5       
Vardas220      Pavarde220     7    3    10   8    5    9       
Vardas221      Pavarde221     3    7    4    1    2    4       
Vardas222      Pavarde222     6    4    2    4    7    10      
Vardas223      Pavarde223     8    8    1    8    8    8       
Vardas224      Pavarde224     2    10   1    3    7    7       
Vardas225      Pavarde225     9    5    5    3    8    4       
Vardas226      Pavarde226     2    9    3    6    8    2       
Vardas227      Pavarde227     8    2    8    5    2    8       
Vardas228      Pavarde228     7    6    2    5    7    4       
Vardas229      Pavarde229     5    6    2    4    8    1       
Vardas230      Pavarde230     2    7    2    8    8    8       
Vardas231      Pavarde231     8    10   5    2    4    5       
Vardas232      Pavarde232     7    9    9    9    6    6       
Vardas233      Pavarde233     8    1    9    6    9    5       
Vardas234      Pavarde234     8    9    4    10   1    9       
Vardas235      Pavarde235     6    5    9    8    9    2       
Vardas236      Pavarde236     5    10   7    7    6    5       
Vardas237      Pavarde237     8    7    5    8    2    7       
Vardas238      Pavarde238     8    1    2    10   3    1       
Vardas239      Pavarde239     6    3    9    7    10   7       
Vardas240      Pavarde240     10   4    1    9    10   6       
Vardas241      Pavarde241     7    5    4    6    10   2       
Vardas242      Pavarde242     5    2    10   9    9    2       
Vardas243      Pavarde243     6    4    6    1    3    1       
Vardas244      Pavarde244     10   5    5    2    4    10      
Vardas245      Pavarde245     1    8    1    5    8    2       
Vardas246      Pavarde246     9    1    7    9    4    2       
Vardas247      Pavarde247     4    5    1    4    1    5       
Vardas248      Pavarde248     1    9    6    1    10   2       
Vardas249      Pavarde249     5    4    4    8    9    10      
Vardas250      Pavarde250     2    9    6    7    7    4       
Vardas251      Pavarde251     1    1    2    1    8    10      
Vardas252      Pavarde252     4    2    6    6    6    3       
Vardas253      Pavarde253     8    9    4    5    7    9       
Vardas254      Pavarde254     6    2    1    4    7    10      
Vardas255      Pavarde255     2    2    3    3    5    3       
Vardas256      Pavarde256     5    4    7    6    7    2       
Vardas257      Pavarde257     7    6    4    3    7    5       
Vardas258      Pavarde258     1    9    8    4    6    3       
Vardas259      Pavarde259     2    7    10   8    2    4       
Vardas260      Pavarde260     3    6    5    7    8    9       
Vardas261      Pavarde261     3    5    1    1    3    4       
Vardas262      Pavarde262     10   2    9    5    4    3       
Vardas263      Pavarde263     2    4    1    7    5    5       
Vardas264      Pavarde264     5    1    5    10   8    3       
Vardas265      Pavarde265     9    3    10   9    6    5       
Vardas266      Pavarde266     8    7    10   7    5    5       
Vardas267      Pavarde267     4    2    5    5    6    3       
Vardas268      Pavarde268     6    3    5    7    2    9       
Vardas269      Pavarde269     4    7    7    7    9    10      
Vardas270      Pavarde270     1    1    3    4    8    6       
Vardas271      Pavarde271     8    3    8    1    1    4       
Vardas272      Pavarde272     4    5    3    10   3    3       
Vardas273      Pavarde273     5    4    8    9    5    6       
Vardas274      Pavarde274     2    6    5    4    9    8       
Vardas275      Pavarde275     3    3    5    6    4    7       
Vardas276      Pavarde276     7    6    4    6    5    10      
Vardas277      Pavarde277     5    7    3    1    4    1       
Vardas278      Pavarde278     6    2    9    6    1    1       
Vardas279      Pavarde279     10   7    8    6    7    9       
Vardas280      Pavarde280     7    1    10   2    3    1       
Vardas281      Pavarde281     1    4    7    10   8    6       
Vardas282      Pavarde282     3    6    2    2    4    3       
Vardas283      Pavarde283     10   9    8    8    1    5       
Vardas284      Pavarde284     4    10   5    10   4    7       
Vardas285      Pavarde285     6    3    10   2    5    2       
Vardas286      Pavarde286     2    6    10   2    3    1       
Vardas287      Pavarde287     3    6    3    3    5    8       
Vardas288      Pavarde288     2    4    10   7    9    2       
Vardas289      Pavarde289     10   1    9    2    6    8       
Vardas290      Pavarde290     5    6    7    10   1    1       
Vardas291      Pavarde291     1    1    3    1    10   4       
Vardas292      Pavarde292     7    4    3    9    4    2       
Vardas293      Pavarde293     10   10   3    9    7    2       
Vardas294      Pavarde294     7    3    4    1    3    9       
Vardas295      Pavarde295     1    4    3    7    5    5       
Vardas296      Pavarde296     8    7    1    8    5    6       
Vardas297      Pavarde297     3    6    9    6    5    7       
Vardas298      Pavarde298     10   3    2    10   7    6       
Vardas299      Pavarde299     7    10   8    7    8    2       
Vardas300      Pavarde300     10   4    6    5    7    6       
Vardas301      Pavarde301     3    10   8    8    7    8       
Vardas302      Pavarde302     2    2    8    5    3    3       
Vardas303      Pavarde303     3    8    2    5    5    6       
Vardas304      Pavarde304     10   9    2    10   6    8       
Vardas305      Pavarde305     2    1    2    1    8    1       
Vardas306      Pavarde306     7    4    6    8    8    10      
Vardas307      Pavarde307     8    3    9    8    6    4       
Vardas308      Pavarde308     3    1    8    9    6    10      
Vardas309      Pavarde309     8    9    8    8    10   8       
Vardas310      Pavarde310     6    5    5    10   7    6       
Vardas311      Pavarde311     9    6    9    10   4    8       
Vardas312      Pavarde312     1    9    4    7    3    2       
Vardas313      Pavarde313     1    3    5    9    5    5       
Vardas314      Pavarde314     8    6    6    4    7    7       
Vardas315      Pavarde315     3    9    8    2    7    7       
Vardas316      Pavarde316     10   2    5    7    5    9       
Vardas317      Pavarde317     8    6    6    6    5    7       
Vardas318      Pavarde318     8    8    4    3    7    1       
Vardas319      Pavarde319     9    9    9    4    8    2       
Vardas320      Pavarde320     7    3    2    8    10   7       
Vardas321      Pavarde321     9    9    9    3    10   1       
Vardas322      Pavarde322     5    5    9    10   5    1       
Vardas323      Pavarde323     4    2    9    6    7    3       
Vardas324      Pavarde324     8    7    7    10   5    6       
Vardas325      Pavarde325     3    7    1    5    7    3       
Vardas326      Pavarde326     10   6    2    7    5    6       
Vardas327      Pavarde327     5    9    4    4    6    9       
Vardas328      Pavarde328     7    4    6    5    2    9       
Vardas329      Pavarde329     9    1    8    2    3    4       
Vardas330      Pavarde330     7    3    9    7    9    1       
Vardas331      Pavarde331     5    7    8    10   5    3       
Vardas332      Pavarde332     8    7    8    7    4    6       
Vardas333      Pavarde333     4    9    8    3    9    9       
Vardas334      Pavarde334     3    1    2    7    1    8       
Vardas335      Pavarde335     8    1    1    5    7    2       
Vardas336      Pavarde336     6    9    8    1    10   4       
Vardas337      Pavarde337     9    6    3    8    5    4       
Vardas338      Pavarde338     2    3    4    10   2    4       
Vardas339      Pavarde339     3    6    2    4    9    6       
Vardas340      Pavarde340     7    10   8    10   10   6       
Vardas341      Pavarde341     10   2    7    8    8    3       
Vardas342      Pavarde342     4    6    10   3    2    10      
Vardas343      Pavarde343     10   5    5    5    1    8       
Vardas344      Pavarde344     5    4    9    10   10   1       
Vardas345      Pavarde345     3    9    8    10   8    6       
Vardas346      Pavarde346     8    9    5    5    10   6       
Vardas347      Pavarde347     4    3    2    8    5    8       
Vardas348      Pavarde348     5    7    6    6    3    10      
Vardas349      Pavarde349     2    8    3    8    1    10      
Vardas350      Pavarde350     7    7    7    1    4    2       
Vardas351      Pavarde351     4    5    7    4    8    7       
Vardas352      Pavarde352     1    1    9    5    9    4       
Vardas353      Pavarde353     9    6    9    5    5    2       
Vardas354      Pavarde354     6    2    6    9    6    1       
Vardas355      Pavarde355     10   1    8    4    6    7       
Vardas356      Pavarde356     9    1    3    10   9    5       
Vardas357      Pavarde357     3    8    3    6    1    2       
Vardas358      Pavarde358     9    7    7    2    9    1       
Vardas359      Pavarde359     6    9    8    3    5    7       
Vardas360      Pavarde360     8    5    1    1    10   10      
Vardas361      Pavarde361     6    7    7    5    4    8       
Vardas362      Pavarde362     2    6    10   2    7    6       
Vardas363      Pavarde363     8    2    5    6    3    10      
Vardas364      Pavarde364     9    4    5    3    1    9       
Vardas365      Pavarde365     2    10   9    4    9    3       
Vardas366      Pavarde366     5    4    2    1    8    4       
Vardas367      Pavarde367     5    7    5    8    3    9       
Vardas368      Pavarde368     5    6    7    5    6    9       
Vardas369      Pavarde369     3    1    4    2    7    3       
Vardas370      Pavarde370     2    2    6    4    4    7       
Vardas371      Pavarde371     7    2    7    8    2    6       
Vardas372      Pavarde372     7    5    1    4    10   6       
Vardas373      Pavarde373     5    3    4    4    6    8       
Vardas374      Pavarde374     2    8    5    2    2    1       
Vardas375      Pavarde375     3    1    7    6    4    1       
Vardas376      Pavarde376     7    10   10   2    10   2       
Vardas377      Pavarde377     1    9    6    4    6    9       
Vardas378      Pavarde378     4    6    2    8    8    10      
Vardas379      Pavarde379     6    2    7    3    3    1       
Vardas380      Pavarde380     5    9    8    1    4    4       
Vardas381      Pavarde381     7    3    7    5    9    10      
Vardas382      Pavarde382     2    6    9    10   4    7       
Vardas383      Pavarde383     9    9    5    10   7    1       
Vardas384      Pavarde384     7    6    8    3    8    3       
Vardas385      Pavarde385     6    10   5    8    1    1       
Vardas386      Pavarde386     5    3    2    10   1    7       
Vardas387      Pavarde387     10   3    2    9    5    2       
Vardas388      Pavarde388     6    9    2    7    10   5       
Vardas389      Pavarde389     6    7    1    4    9    7       
Vardas390      Pavarde390     6    2    4    6    4    3       
Vardas391      Pavarde391     7    2    10   5    10   4       
Vardas392      Pavarde392     2    8    6    9    3    4       
Vardas393      Pavarde393     10   2    4    9    6    3       
Vardas394      Pavarde394     9    5    9    6    8    4       
Vardas395      Pavarde395     6    3    3    10   4    4       
Vardas396      Pavarde396     10   7    1    5    3    10      
Vardas397      Pavarde397     3    5    9    3    1    7       
Vardas398      Pavarde398     5    3    2    8    8    1       
Vardas399      Pavarde399     6    10   4    4    9    5       
Vardas400      Pavarde400     4    10   6    7    8    8       
Vardas401      Pavarde401     4    5    5    4    7    8       
Vardas402      Pavarde402     10   7    4    1    8    8       
Vardas403      Pavarde403     4    10   5    8    4    3       
Vardas404      Pavarde404     3    5    1    1    8    9       
Vardas405      Pavarde405     3    5    1    10   6    9       
Vardas406      Pavarde406     3    7    4    1    5    2       
Vardas407      Pavarde407     8    8    3    8    9    4       
Vardas408      Pavarde408     4    9    1    10   1    9       
Vardas409      Pavarde409     4    8    7    7    8    4       
Vardas410      Pavarde410     5    6    5    10   6    4       
Vardas411      Pavarde411     2    3    6    3    4    10      
Vardas412      Pavarde412     2    2    5    8    6    5       
Vardas413      Pavarde413     2    2    10   5    10   7       
Vardas414      Pavarde414     5    1    9    3    3    7       
Vardas415      Pavarde415     3    9    2    1    1    9       
Vardas416      Pavarde416     5    9    3    6    7    6       
Vardas417      Pavarde417     10   10   3    2    9    2       
Vardas418      Pavarde418     3    8    6    10   6    10      
Vardas419      Pavarde419     7    6    7    6    1    8       
Vardas420      Pavarde420     1    7    9    4    5    9       
Vardas421      Pavarde421     10   4    9    8    6    5       
Vardas422      Pavarde422     6    10   7    10   8    8       
Vardas423      Pavarde423     1    7    1    8    4    9       
Vardas424      Pavarde424     5    1    5    6    3    6       
Vardas425      Pavarde425     5    6    8    3    4    9       
Vardas426      Pavarde426     9    1    6    8    9    8       
Vardas427      Pavarde427     8    2    5    7    8    8       
Vardas428      Pavarde428     5    3    10   1    8    8       
Vardas429      Pavarde429     8    6    3    4    10   10      
Vardas430      Pavarde430     9    6    10   10   8    9       
Vardas431      Pavarde431     4    6    6    2    10   8       
Vardas432      Pavarde432     3    1    8    3    10   1       
Vardas433      Pavarde433     4    8    6    9    5    9       
Vardas434      Pavarde434     10   2    2    3    8    7       
Vardas435      Pavarde435     3    4    2    7    1    3       
Vardas436      Pavarde436     7    7    6    5    8    7       
Vardas437      Pavarde437     1    6    9    10   9    6       
Vardas438      Pavarde438     4    6    7    3    3    8       
Vardas439      Pavarde439     4    6    9    10   5    2       
Vardas440      Pavarde440     10   1    9    3    8    7       
Vardas441      Pavarde441     7    4    6    3    3    10      
Vardas442      Pavarde442     1    9    8    1    10   3       
Vardas443      Pavarde443     2    8    5    8    4    1       
Vardas444      Pavarde444     1    9    8    2    1    8       
Vardas445      Pavarde445     7    6    8    2    6    10      
Vardas446      Pavarde446     10   6    6    7    1    10      
Vardas447      Pavarde447     8    1    5    1    8    8       
Vardas448      Pavarde448     1    2    7    5    3    9       
Vardas449      Pavarde449     8    3    3    7    9    6       
Vardas450      Pavarde450     5    5    3    10   6    8       
Vardas451      Pavarde451     6    1    9    3    9    8       
Vardas452      Pavarde452     7    5    4    8    5    6       
Vardas453      Pavarde453     10   9    4    3    1    1       
Vardas454      Pavarde454     4    5    4    4    1    5       
Vardas455      Pavarde455     7    3    8    10   1    9       
Vardas456      Pavarde456     7    7    8    7    9    10      
Vardas457      Pavarde457     2    8    6    2    5    1       
Vardas458      Pavarde458     2    9    9    10   8    9       
Vardas459      Pavarde459     6    7    2    9    1    6       
Vardas460      Pavarde460     2    4    9    7    10   4       
Vardas461      Pavarde461     7    7    10   6    1    8       
Vardas462      Pavarde462     2    5    2    10   3    7       
Vardas463      Pavarde463     5    8    6    2    1    8       
Vardas464      Pavarde464     1    1    3    2    1    10      
Vardas465      Pavarde465     3    2    8    9    6    2       
Vardas466      Pavarde466     4    8    6    4    7    4       
Vardas467      Pavarde467     9    3    8    2    5    8       
Vardas468      Pavarde468     4    5    1    6    8    3       
Vardas469      Pavarde469     9    2    1    10   2    10      
Vardas470      Pavarde470     3    2    7    1    7    5       
Vardas471      Pavarde471     10   9    6    5    9    10      
Vardas472      Pavarde472     2    9    2    6    3    4       
Vardas473      Pavarde473     6    1    7    6    7    10      
Vardas474      Pavarde474     10   4    8    5    10   5       
Vardas475      Pavarde475     2    9    9    1    7    2       
Vardas476      Pavarde476     7    9    9    3    2    2       
Vardas477      Pavarde477     2    9    9    1    5    4       
Vardas478      Pavarde478     10   2    8    2    2    2       
Vardas479      Pavarde479     4    9    10   10   7    2       
Vardas480      Pavarde480     4    9    8    10   10   2       
Vardas481      Pavarde481     6    7    10   4    8    1       
Vardas482      Pavarde482     10   8    3    9    8    10      
Vardas483      Pavarde483     4    4    5    10   5    9       
Vardas484      Pavarde484     1    3    5    3    2    6       
Vardas485      Pavarde485     1    1    1    4    10   5       
Vardas486      Pavarde486     4    5    6    8    6    10      
Vardas487      Pavarde487     1    6    2    8    7    10      
Vardas488      Pavarde488     5    3    8    8    4    4       
Vardas489      Pavarde489     6    5    5    2    9    10      
Vardas490      Pavarde490     6    10   9    2    9    6       
Vardas491      Pavarde491     1    8    4    4    10   8       
Vardas492      Pavarde492     9    3    1    8    8    8       
Vardas493      Pavarde493     2    2    10   3    4    1       
Vardas494      Pavarde494     9    4    5    7    7    2       
Vardas495      Pavarde495     9    5    9    6    10   2       
Vardas496      Pavarde496     3    1    5    9    8    9       
Vardas497      Pavarde497     7    6    6    5    8    9       
Vardas498      Pavarde498     1    2    9    3    6    6       
Vardas499      Pavarde499     9    8    10   5    3    7       
Vardas500      Pavarde500     7    7    3    1    7    2       
Vardas501      Pavarde501     3    8    9    6    9    9       
Vardas502      Pavarde502     8    5    8    6    1    7       
Vardas503      Pavarde503     6    4    3    9    3    8       
Vardas504      Pavarde504     7    8    10   4    9    9       
Vardas505      Pavarde505     6    9    8    9    8    10      
Vardas506      Pavarde506     7    1    7    4    6    3       
Vardas507      Pavarde507     3    1    10   9    10   3       
Vardas508      Pavarde508     1    10   3    6    5    7       
Vardas509      Pavarde509     5    4    3    7    3    5       
Vardas510      Pavarde510     10   8    5    4    10   2       
Vardas511      Pavarde511     3    9    8    5    6    9       
Vardas512      Pavarde512     9    6    2    1    10   5       
Vardas513      Pavarde513     3    8    1    4    9    1       
Vardas514      Pavarde514     10   8    6    8    6    2       
Vardas515      Pavarde515     9    3    9    3    5    10      
Vardas516      Pavarde516     5    7    1    3    2    8       
Vardas517      Pavarde517     9    4    2    8    3    1       
Vardas518      Pavarde518     9    5    2    3    6    1       
Vardas519      Pavarde519     3    8    10   5    8    10      
Vardas520      Pavarde520     10   9    2    3    2    3       
Vardas521      Pavarde521     3    1    3    1    10   1       
Vardas522      Pavarde522     1    9    9    7    5    6       
Vardas523      Pavarde523     10   3    5    3    2    1       
Vardas524      Pavarde524     3    3    8    4    5    2       
Vardas525      Pavarde525     8    8    5    8    6    6       
Vardas526      Pavarde526     10   8    4    3    8    6       
Vardas527      Pavarde527     4    9    9    1    9    1       
Vardas528      Pavarde528     1    10   7    10   3    4       
Vardas529      Pavarde529     2    3    2    3    7    5       
Vardas530      Pavarde530     7    7    6    7    3    8       
Vardas531      Pavarde531     10   8    9    6    4    7       
Vardas532      Pavarde532     7    2    7    1    2    2       
Vardas533      Pavarde533     4    9    7    8    9    4       
Vardas534      Pavarde534     4    1    10   7    4    1       
Vardas535      Pavarde535     2    4    2    1    9    6       
