Pavarde        Vardas         vidurkis            mediana             
Vardas7338     Pavarde7338    8.8                 9.2                 
Vardas2393     Pavarde2393    8.8                 8.8                 
Vardas7385     Pavarde7385    8.8                 9.2                 
Vardas5878     Pavarde5878    8.8                 8.8                 
Vardas3058     Pavarde3058    8.8                 9.2                 
Vardas6366     Pavarde6366    8.8                 9.6                 
Vardas8369     Pavarde8369    8.8                 8.8                 
Vardas202      Pavarde202     8.8                 9.2                 
Vardas4902     Pavarde4902    8.8                 8.8                 
Vardas5835     Pavarde5835    8.8                 8.8                 
Vardas5226     Pavarde5226    8.8                 9.2                 
Vardas5731     Pavarde5731    8.8                 9.2                 
Vardas9361     Pavarde9361    8.8                 9.2                 
Vardas7579     Pavarde7579    8.8                 9.2                 
Vardas2432     Pavarde2432    8.8                 9.2                 
Vardas1321     Pavarde1321    8.8                 9                   
Vardas8414     Pavarde8414    8.8                 8.6                 
Vardas1758     Pavarde1758    8.7                 9.2                 
Vardas754      Pavarde754     8.7                 9.2                 
Vardas6331     Pavarde6331    8.7                 9.2                 
Vardas5312     Pavarde5312    8.7                 8.8                 
Vardas8351     Pavarde8351    8.7                 9.2                 
Vardas8818     Pavarde8818    8.7                 8.8                 
Vardas7721     Pavarde7721    8.7                 8.4                 
Vardas8826     Pavarde8826    8.7                 8.8                 
Vardas5930     Pavarde5930    8.7                 8.8                 
Vardas9656     Pavarde9656    8.7                 8                   
Vardas6323     Pavarde6323    8.7                 8.8                 
Vardas7969     Pavarde7969    8.7                 8.4                 
Vardas3031     Pavarde3031    8.7                 9.2                 
Vardas2911     Pavarde2911    8.7                 9.2                 
Vardas170      Pavarde170     8.7                 9.2                 
Vardas4033     Pavarde4033    8.7                 8.8                 
Vardas8546     Pavarde8546    8.7                 8.4                 
Vardas6301     Pavarde6301    8.7                 8.8                 
Vardas7089     Pavarde7089    8.7                 8.8                 
Vardas2742     Pavarde2742    8.7                 9.2                 
Vardas6718     Pavarde6718    8.7                 8.8                 
Vardas8408     Pavarde8408    8.7                 9.2                 
Vardas6233     Pavarde6233    8.7                 8.8                 
Vardas9484     Pavarde9484    8.7                 8.4                 
Vardas7302     Pavarde7302    8.7                 9.2                 
Vardas1116     Pavarde1116    8.7                 9.2                 
Vardas5140     Pavarde5140    8.7                 8.8                 
Vardas2669     Pavarde2669    8.7                 9.2                 
Vardas4168     Pavarde4168    8.7                 9.2                 
Vardas2871     Pavarde2871    8.7                 8.4                 
Vardas269      Pavarde269     8.7                 8.8                 
Vardas6691     Pavarde6691    8.7                 8.8                 
Vardas1733     Pavarde1733    8.7                 9.2                 
Vardas4735     Pavarde4735    8.7                 8.8                 
Vardas6620     Pavarde6620    8.7                 9.2                 
Vardas3129     Pavarde3129    8.7                 8.8                 
Vardas9863     Pavarde9863    8.7                 9.6                 
Vardas962      Pavarde962     8.7                 9.6                 
Vardas6470     Pavarde6470    8.7                 9.2                 
Vardas5187     Pavarde5187    8.7                 8.8                 
Vardas519      Pavarde519     8.7                 9.2                 
Vardas6737     Pavarde6737    8.7                 9.4                 
Vardas7255     Pavarde7255    8.7                 8.6                 
Vardas5178     Pavarde5178    8.7                 9.4                 
Vardas3966     Pavarde3966    8.7                 8.6                 
Vardas6120     Pavarde6120    8.7                 8.6                 
Vardas8190     Pavarde8190    8.7                 9                   
Vardas5634     Pavarde5634    8.7                 8.6                 
Vardas9311     Pavarde9311    8.7                 9                   
Vardas9715     Pavarde9715    8.7                 8.6                 
Vardas8662     Pavarde8662    8.7                 9                   
Vardas8180     Pavarde8180    8.7                 8.6                 
Vardas3718     Pavarde3718    8.6                 8.8                 
Vardas6752     Pavarde6752    8.6                 8                   
Vardas1005     Pavarde1005    8.6                 9.2                 
Vardas8470     Pavarde8470    8.6                 9.2                 
Vardas6567     Pavarde6567    8.6                 8.8                 
Vardas4484     Pavarde4484    8.6                 8.4                 
Vardas418      Pavarde418     8.6                 8.4                 
Vardas5687     Pavarde5687    8.6                 8.8                 
Vardas8994     Pavarde8994    8.6                 8.8                 
Vardas7794     Pavarde7794    8.6                 8.4                 
Vardas9012     Pavarde9012    8.6                 8.8                 
Vardas2726     Pavarde2726    8.6                 8.8                 
Vardas4555     Pavarde4555    8.6                 8.8                 
Vardas8666     Pavarde8666    8.6                 9.2                 
Vardas1964     Pavarde1964    8.6                 8.8                 
Vardas2787     Pavarde2787    8.6                 9.6                 
Vardas6622     Pavarde6622    8.6                 8.8                 
Vardas9988     Pavarde9988    8.6                 8.4                 
Vardas9150     Pavarde9150    8.6                 8.8                 
Vardas6580     Pavarde6580    8.6                 9.2                 
Vardas6658     Pavarde6658    8.6                 9.6                 
Vardas8355     Pavarde8355    8.6                 9.2                 
Vardas5561     Pavarde5561    8.6                 8.8                 
Vardas6805     Pavarde6805    8.6                 9.2                 
Vardas2760     Pavarde2760    8.6                 9.2                 
Vardas6423     Pavarde6423    8.6                 8.8                 
Vardas306      Pavarde306     8.6                 8.8                 
Vardas9992     Pavarde9992    8.6                 9.2                 
Vardas6437     Pavarde6437    8.6                 8.8                 
Vardas1467     Pavarde1467    8.6                 9.2                 
Vardas5185     Pavarde5185    8.6                 8.8                 
Vardas2686     Pavarde2686    8.6                 8.8                 
Vardas826      Pavarde826     8.6                 9.2                 
Vardas699      Pavarde699     8.6                 8.8                 
Vardas4321     Pavarde4321    8.6                 8.8                 
Vardas7722     Pavarde7722    8.6                 9.2                 
Vardas2321     Pavarde2321    8.6                 9.2                 
Vardas3100     Pavarde3100    8.6                 8.8                 
Vardas6271     Pavarde6271    8.6                 8.4                 
Vardas8322     Pavarde8322    8.6                 9.2                 
Vardas3590     Pavarde3590    8.6                 8.8                 
Vardas5780     Pavarde5780    8.6                 8.8                 
Vardas4047     Pavarde4047    8.6                 8.8                 
Vardas3869     Pavarde3869    8.6                 9.6                 
Vardas6462     Pavarde6462    8.6                 8.4                 
Vardas6398     Pavarde6398    8.6                 8.6                 
Vardas8914     Pavarde8914    8.6                 9                   
Vardas7711     Pavarde7711    8.6                 8.6                 
Vardas4960     Pavarde4960    8.6                 9                   
Vardas3382     Pavarde3382    8.6                 9.4                 
Vardas8223     Pavarde8223    8.6                 8.6                 
Vardas5313     Pavarde5313    8.6                 8.6                 
Vardas970      Pavarde970     8.6                 8.6                 
Vardas9351     Pavarde9351    8.6                 9                   
Vardas992      Pavarde992     8.6                 8.2                 
Vardas2059     Pavarde2059    8.6                 8.6                 
Vardas836      Pavarde836     8.6                 8.6                 
Vardas6570     Pavarde6570    8.6                 9.4                 
Vardas3557     Pavarde3557    8.6                 9                   
Vardas7112     Pavarde7112    8.6                 8.6                 
Vardas7463     Pavarde7463    8.6                 8.4                 
Vardas1463     Pavarde1463    8.6                 8                   
Vardas3147     Pavarde3147    8.6                 8.8                 
Vardas3450     Pavarde3450    8.6                 9.2                 
Vardas4974     Pavarde4974    8.6                 8.8                 
Vardas3780     Pavarde3780    8.6                 8.8                 
Vardas2610     Pavarde2610    8.6                 8.4                 
Vardas8703     Pavarde8703    8.6                 8.4                 
Vardas4152     Pavarde4152    8.6                 8.8                 
Vardas2336     Pavarde2336    8.6                 8.8                 
Vardas3242     Pavarde3242    8.6                 8.8                 
Vardas4136     Pavarde4136    8.6                 8.8                 
Vardas7995     Pavarde7995    8.6                 8.8                 
Vardas7343     Pavarde7343    8.6                 8.8                 
Vardas8207     Pavarde8207    8.6                 8.4                 
Vardas3910     Pavarde3910    8.6                 8.8                 
Vardas633      Pavarde633     8.6                 8.4                 
Vardas3535     Pavarde3535    8.6                 8.8                 
Vardas5270     Pavarde5270    8.6                 8.4                 
Vardas9687     Pavarde9687    8.6                 8.8                 
Vardas7679     Pavarde7679    8.6                 8                   
Vardas7901     Pavarde7901    8.6                 8.8                 
Vardas3947     Pavarde3947    8.6                 8.8                 
Vardas5291     Pavarde5291    8.6                 9.2                 
Vardas7405     Pavarde7405    8.6                 8.8                 
Vardas4080     Pavarde4080    8.6                 8.4                 
Vardas4949     Pavarde4949    8.6                 8.4                 
Vardas8761     Pavarde8761    8.6                 8.8                 
Vardas1940     Pavarde1940    8.6                 8.8                 
Vardas8839     Pavarde8839    8.6                 9.2                 
Vardas4448     Pavarde4448    8.6                 8.4                 
Vardas9624     Pavarde9624    8.6                 8.4                 
Vardas2424     Pavarde2424    8.6                 8.8                 
Vardas3387     Pavarde3387    8.6                 8.8                 
Vardas7208     Pavarde7208    8.6                 8.8                 
Vardas1719     Pavarde1719    8.6                 8.8                 
Vardas8513     Pavarde8513    8.6                 8.8                 
Vardas3204     Pavarde3204    8.6                 9.2                 
Vardas7596     Pavarde7596    8.6                 8.8                 
Vardas9555     Pavarde9555    8.6                 8                   
Vardas3355     Pavarde3355    8.6                 8.8                 
Vardas5108     Pavarde5108    8.6                 9.2                 
Vardas8596     Pavarde8596    8.6                 8                   
Vardas9402     Pavarde9402    8.6                 8.8                 
Vardas2000     Pavarde2000    8.6                 8.4                 
Vardas1450     Pavarde1450    8.6                 8.8                 
Vardas1176     Pavarde1176    8.6                 8.8                 
Vardas9485     Pavarde9485    8.6                 8.4                 
Vardas5487     Pavarde5487    8.6                 8.8                 
Vardas6413     Pavarde6413    8.6                 9.2                 
Vardas6527     Pavarde6527    8.6                 8.8                 
Vardas1376     Pavarde1376    8.6                 8.4                 
Vardas1366     Pavarde1366    8.6                 8.4                 
Vardas6660     Pavarde6660    8.6                 8.8                 
Vardas6839     Pavarde6839    8.5                 8.2                 
Vardas9793     Pavarde9793    8.5                 9.4                 
Vardas776      Pavarde776     8.5                 9                   
Vardas196      Pavarde196     8.5                 8.6                 
Vardas8960     Pavarde8960    8.5                 8.6                 
Vardas9889     Pavarde9889    8.5                 8.6                 
Vardas8953     Pavarde8953    8.5                 8.6                 
Vardas1658     Pavarde1658    8.5                 8.8                 
Vardas4315     Pavarde4315    8.5                 8                   
Vardas9975     Pavarde9975    8.5                 8.4                 
Vardas1898     Pavarde1898    8.5                 8.4                 
Vardas136      Pavarde136     8.5                 8                   
Vardas2510     Pavarde2510    8.5                 8.4                 
Vardas5427     Pavarde5427    8.5                 8.8                 
Vardas5661     Pavarde5661    8.5                 8.8                 
Vardas2584     Pavarde2584    8.5                 8.8                 
Vardas5284     Pavarde5284    8.5                 8.4                 
Vardas5381     Pavarde5381    8.5                 8                   
Vardas7823     Pavarde7823    8.5                 8.4                 
Vardas4429     Pavarde4429    8.5                 9.2                 
Vardas9143     Pavarde9143    8.5                 8.4                 
Vardas9058     Pavarde9058    8.5                 8.4                 
Vardas9427     Pavarde9427    8.5                 8.4                 
Vardas5816     Pavarde5816    8.5                 8.4                 
Vardas9408     Pavarde9408    8.5                 8.4                 
Vardas3304     Pavarde3304    8.5                 8                   
Vardas429      Pavarde429     8.5                 8.4                 
Vardas765      Pavarde765     8.5                 8.4                 
Vardas2169     Pavarde2169    8.5                 9.6                 
Vardas2210     Pavarde2210    8.5                 8.4                 
Vardas8779     Pavarde8779    8.5                 8                   
Vardas3734     Pavarde3734    8.5                 9.2                 
Vardas2492     Pavarde2492    8.5                 8                   
Vardas3553     Pavarde3553    8.5                 8.4                 
Vardas5121     Pavarde5121    8.5                 8.8                 
Vardas150      Pavarde150     8.5                 8.8                 
Vardas4053     Pavarde4053    8.5                 8.8                 
Vardas6938     Pavarde6938    8.5                 9.2                 
Vardas3243     Pavarde3243    8.5                 9.2                 
Vardas9612     Pavarde9612    8.5                 8.4                 
Vardas9841     Pavarde9841    8.5                 8.8                 
Vardas8165     Pavarde8165    8.5                 8.8                 
Vardas3434     Pavarde3434    8.5                 8.8                 
Vardas5672     Pavarde5672    8.5                 8                   
Vardas8497     Pavarde8497    8.5                 8.4                 
Vardas6768     Pavarde6768    8.5                 8.4                 
Vardas3068     Pavarde3068    8.5                 9.2                 
Vardas1917     Pavarde1917    8.5                 8.4                 
Vardas7695     Pavarde7695    8.5                 9.2                 
Vardas4713     Pavarde4713    8.5                 8.8                 
Vardas9563     Pavarde9563    8.5                 8.4                 
Vardas6425     Pavarde6425    8.5                 8                   
Vardas4989     Pavarde4989    8.5                 8.8                 
Vardas381      Pavarde381     8.5                 8.8                 
Vardas796      Pavarde796     8.5                 8.8                 
Vardas6051     Pavarde6051    8.4                 9                   
Vardas3219     Pavarde3219    8.4                 9                   
Vardas458      Pavarde458     8.4                 9                   
Vardas279      Pavarde279     8.4                 8.2                 
Vardas4365     Pavarde4365    8.4                 9                   
Vardas4820     Pavarde4820    8.4                 9                   
Vardas4455     Pavarde4455    8.4                 8.6                 
Vardas8661     Pavarde8661    8.4                 9                   
Vardas1402     Pavarde1402    8.4                 8.6                 
Vardas3407     Pavarde3407    8.4                 9                   
Vardas2431     Pavarde2431    8.4                 8.6                 
Vardas3973     Pavarde3973    8.4                 8.6                 
Vardas5568     Pavarde5568    8.4                 8.6                 
Vardas9896     Pavarde9896    8.4                 8.6                 
Vardas504      Pavarde504     8.4                 8.6                 
Vardas1491     Pavarde1491    8.4                 8.6                 
Vardas8686     Pavarde8686    8.4                 8.2                 
Vardas5431     Pavarde5431    8.4                 8.6                 
Vardas4848     Pavarde4848    8.4                 8.6                 
Vardas1327     Pavarde1327    8.4                 9.2                 
Vardas8295     Pavarde8295    8.4                 8.4                 
Vardas4558     Pavarde4558    8.4                 8.8                 
Vardas2953     Pavarde2953    8.4                 9.2                 
Vardas4548     Pavarde4548    8.4                 8.8                 
Vardas1997     Pavarde1997    8.4                 8.8                 
Vardas6277     Pavarde6277    8.4                 8.8                 
Vardas7444     Pavarde7444    8.4                 8.4                 
Vardas5173     Pavarde5173    8.4                 8.4                 
Vardas4875     Pavarde4875    8.4                 8.8                 
Vardas7424     Pavarde7424    8.4                 8                   
Vardas9947     Pavarde9947    8.4                 8.8                 
Vardas1504     Pavarde1504    8.4                 8.8                 
Vardas7305     Pavarde7305    8.4                 8.8                 
Vardas7298     Pavarde7298    8.4                 8.8                 
Vardas9501     Pavarde9501    8.4                 8                   
Vardas2734     Pavarde2734    8.4                 8.8                 
Vardas8430     Pavarde8430    8.4                 8.4                 
Vardas6354     Pavarde6354    8.4                 9.6                 
Vardas9173     Pavarde9173    8.4                 8                   
Vardas1952     Pavarde1952    8.4                 8.4                 
Vardas9047     Pavarde9047    8.4                 9.6                 
Vardas1764     Pavarde1764    8.4                 8.8                 
Vardas249      Pavarde249     8.4                 8                   
Vardas1767     Pavarde1767    8.4                 9.2                 
Vardas4517     Pavarde4517    8.4                 8.8                 
Vardas4495     Pavarde4495    8.4                 8.8                 
Vardas1172     Pavarde1172    8.4                 8                   
Vardas4432     Pavarde4432    8.4                 9.2                 
Vardas446      Pavarde446     8.4                 8.4                 
Vardas5399     Pavarde5399    8.4                 8.8                 
Vardas5460     Pavarde5460    8.4                 8.4                 
Vardas128      Pavarde128     8.4                 8.4                 
Vardas4281     Pavarde4281    8.4                 8                   
Vardas2675     Pavarde2675    8.4                 8.8                 
Vardas5579     Pavarde5579    8.4                 8.8                 
Vardas2351     Pavarde2351    8.4                 8.8                 
Vardas210      Pavarde210     8.4                 8.4                 
Vardas624      Pavarde624     8.4                 8.4                 
Vardas5630     Pavarde5630    8.4                 9.2                 
Vardas6011     Pavarde6011    8.4                 8.8                 
Vardas4807     Pavarde4807    8.4                 8.8                 
Vardas7659     Pavarde7659    8.4                 8.4                 
Vardas215      Pavarde215     8.4                 8                   
Vardas6313     Pavarde6313    8.4                 8.4                 
Vardas1245     Pavarde1245    8.4                 9.6                 
Vardas2402     Pavarde2402    8.4                 8.4                 
Vardas4002     Pavarde4002    8.4                 9.2                 
Vardas5705     Pavarde5705    8.4                 8.8                 
Vardas6721     Pavarde6721    8.4                 9.2                 
Vardas7899     Pavarde7899    8.4                 8.4                 
Vardas3926     Pavarde3926    8.4                 8.8                 
Vardas808      Pavarde808     8.4                 8.4                 
Vardas2543     Pavarde2543    8.4                 8.4                 
Vardas4699     Pavarde4699    8.4                 8.4                 
Vardas2548     Pavarde2548    8.4                 8                   
Vardas6692     Pavarde6692    8.4                 9                   
Vardas1019     Pavarde1019    8.4                 9                   
Vardas4762     Pavarde4762    8.4                 9                   
Vardas6144     Pavarde6144    8.4                 8.6                 
Vardas4673     Pavarde4673    8.4                 8.6                 
Vardas566      Pavarde566     8.4                 8.6                 
Vardas8573     Pavarde8573    8.4                 8.6                 
Vardas2730     Pavarde2730    8.4                 8.6                 
Vardas6652     Pavarde6652    8.4                 8.6                 
Vardas3705     Pavarde3705    8.4                 9                   
Vardas9803     Pavarde9803    8.4                 8.6                 
Vardas5749     Pavarde5749    8.4                 8.2                 
Vardas7525     Pavarde7525    8.4                 8.2                 
Vardas7024     Pavarde7024    8.4                 9                   
Vardas568      Pavarde568     8.4                 8.6                 
Vardas7743     Pavarde7743    8.4                 7.8                 
Vardas8453     Pavarde8453    8.3                 8                   
Vardas445      Pavarde445     8.3                 8.4                 
Vardas8431     Pavarde8431    8.3                 7.6                 
Vardas9288     Pavarde9288    8.3                 8.8                 
Vardas7137     Pavarde7137    8.3                 8.8                 
Vardas3171     Pavarde3171    8.3                 8.8                 
Vardas9968     Pavarde9968    8.3                 8.8                 
Vardas2105     Pavarde2105    8.3                 8                   
Vardas7748     Pavarde7748    8.3                 8.8                 
Vardas2704     Pavarde2704    8.3                 7.6                 
Vardas595      Pavarde595     8.3                 9.2                 
Vardas6411     Pavarde6411    8.3                 8.4                 
Vardas1205     Pavarde1205    8.3                 8.8                 
Vardas6297     Pavarde6297    8.3                 8.4                 
Vardas7127     Pavarde7127    8.3                 8.4                 
Vardas137      Pavarde137     8.3                 7.6                 
Vardas9421     Pavarde9421    8.3                 9.2                 
Vardas7446     Pavarde7446    8.3                 7.6                 
Vardas6419     Pavarde6419    8.3                 8.4                 
Vardas55       Pavarde55      8.3                 8                   
Vardas5626     Pavarde5626    8.3                 8.8                 
Vardas7825     Pavarde7825    8.3                 8.8                 
Vardas546      Pavarde546     8.3                 8.4                 
Vardas8621     Pavarde8621    8.3                 8                   
Vardas9512     Pavarde9512    8.3                 8.8                 
Vardas6726     Pavarde6726    8.3                 8.8                 
Vardas7586     Pavarde7586    8.3                 9.2                 
Vardas8271     Pavarde8271    8.3                 8                   
Vardas3894     Pavarde3894    8.3                 8                   
Vardas3233     Pavarde3233    8.3                 8.4                 
Vardas8063     Pavarde8063    8.3                 8.8                 
Vardas7080     Pavarde7080    8.3                 8.8                 
Vardas9051     Pavarde9051    8.3                 8.8                 
Vardas9660     Pavarde9660    8.3                 8                   
Vardas9667     Pavarde9667    8.3                 8                   
Vardas4028     Pavarde4028    8.3                 8.8                 
Vardas4506     Pavarde4506    8.3                 9.2                 
Vardas3350     Pavarde3350    8.3                 8.4                 
Vardas7375     Pavarde7375    8.3                 8.8                 
Vardas486      Pavarde486     8.3                 8.4                 
Vardas9697     Pavarde9697    8.3                 7.6                 
Vardas663      Pavarde663     8.3                 8.4                 
Vardas3679     Pavarde3679    8.3                 8.4                 
Vardas4012     Pavarde4012    8.3                 8.4                 
Vardas8997     Pavarde8997    8.3                 9.2                 
Vardas2902     Pavarde2902    8.3                 8                   
Vardas4428     Pavarde4428    8.3                 8.8                 
Vardas4516     Pavarde4516    8.3                 8.4                 
Vardas198      Pavarde198     8.3                 8.4                 
Vardas3046     Pavarde3046    8.3                 8.8                 
Vardas1134     Pavarde1134    8.3                 8.8                 
Vardas3812     Pavarde3812    8.3                 8                   
Vardas1253     Pavarde1253    8.3                 8.4                 
Vardas191      Pavarde191     8.3                 8.4                 
Vardas515      Pavarde515     8.3                 8                   
Vardas4342     Pavarde4342    8.3                 8.4                 
Vardas8237     Pavarde8237    8.3                 9.2                 
Vardas704      Pavarde704     8.3                 8.4                 
Vardas4041     Pavarde4041    8.3                 8.4                 
Vardas3654     Pavarde3654    8.3                 8.4                 
Vardas6908     Pavarde6908    8.3                 8.4                 
Vardas7826     Pavarde7826    8.3                 8.4                 
Vardas680      Pavarde680     8.3                 8.8                 
Vardas3549     Pavarde3549    8.3                 7.6                 
Vardas8804     Pavarde8804    8.3                 8.8                 
Vardas3802     Pavarde3802    8.3                 8.4                 
Vardas4103     Pavarde4103    8.3                 7.6                 
Vardas7197     Pavarde7197    8.3                 9.2                 
Vardas4438     Pavarde4438    8.3                 8                   
Vardas7216     Pavarde7216    8.3                 8.8                 
Vardas1651     Pavarde1651    8.3                 8.6                 
Vardas3335     Pavarde3335    8.3                 9                   
Vardas5263     Pavarde5263    8.3                 8.2                 
Vardas4586     Pavarde4586    8.3                 8.2                 
Vardas1632     Pavarde1632    8.3                 8.6                 
Vardas7049     Pavarde7049    8.3                 8.6                 
Vardas6665     Pavarde6665    8.3                 8.6                 
Vardas3028     Pavarde3028    8.3                 8.6                 
Vardas4855     Pavarde4855    8.3                 8.6                 
