Pavarde        Vardas         vidurkis            mediana             
Vardas6948     Pavarde6948    5                   4.4                 
Vardas2670     Pavarde2670    5                   4.8                 
Vardas8974     Pavarde8974    5                   4.8                 
Vardas5477     Pavarde5477    5                   5.6                 
Vardas5594     Pavarde5594    5                   4.8                 
Vardas3036     Pavarde3036    5                   5.2                 
Vardas6307     Pavarde6307    5                   4.4                 
Vardas9517     Pavarde9517    5                   4.4                 
Vardas9538     Pavarde9538    5                   4.4                 
Vardas8249     Pavarde8249    5                   4.8                 
Vardas6430     Pavarde6430    5                   5.2                 
Vardas270      Pavarde270     5                   4.8                 
Vardas9140     Pavarde9140    5                   4.4                 
Vardas8521     Pavarde8521    5                   5.2                 
Vardas3236     Pavarde3236    5                   4.8                 
Vardas1965     Pavarde1965    5                   4                   
Vardas5176     Pavarde5176    5                   4.8                 
Vardas3423     Pavarde3423    5                   5.2                 
Vardas1078     Pavarde1078    5                   5.2                 
Vardas1014     Pavarde1014    5                   4.4                 
Vardas7164     Pavarde7164    5                   4.4                 
Vardas907      Pavarde907     5                   4.8                 
Vardas6559     Pavarde6559    5                   4.4                 
Vardas7222     Pavarde7222    5                   4.4                 
Vardas6202     Pavarde6202    5                   4.8                 
Vardas717      Pavarde717     5                   4                   
Vardas3964     Pavarde3964    5                   4.8                 
Vardas1588     Pavarde1588    5                   4.8                 
Vardas8545     Pavarde8545    5                   4.4                 
Vardas2571     Pavarde2571    4.9                 5                   
Vardas2204     Pavarde2204    4.9                 5                   
Vardas4950     Pavarde4950    4.9                 5.8                 
Vardas5046     Pavarde5046    4.9                 4.6                 
Vardas1214     Pavarde1214    4.9                 5.4                 
Vardas5682     Pavarde5682    4.9                 5                   
Vardas8981     Pavarde8981    4.9                 5                   
Vardas5198     Pavarde5198    4.9                 4.6                 
Vardas6988     Pavarde6988    4.9                 4.2                 
Vardas2598     Pavarde2598    4.9                 5                   
Vardas5693     Pavarde5693    4.9                 4.2                 
Vardas6040     Pavarde6040    4.9                 5                   
Vardas2585     Pavarde2585    4.9                 5                   
Vardas4260     Pavarde4260    4.9                 4.2                 
Vardas5122     Pavarde5122    4.9                 5.4                 
Vardas1021     Pavarde1021    4.9                 5                   
Vardas9416     Pavarde9416    4.9                 4.2                 
Vardas9022     Pavarde9022    4.9                 4.6                 
Vardas5972     Pavarde5972    4.9                 5                   
Vardas6132     Pavarde6132    4.9                 5                   
Vardas4779     Pavarde4779    4.9                 5                   
Vardas2170     Pavarde2170    4.9                 4.6                 
Vardas981      Pavarde981     4.9                 4.6                 
Vardas5815     Pavarde5815    4.9                 4.6                 
Vardas7359     Pavarde7359    4.9                 5                   
Vardas7400     Pavarde7400    4.9                 4.6                 
Vardas5466     Pavarde5466    4.9                 5                   
Vardas9375     Pavarde9375    4.9                 5                   
Vardas7821     Pavarde7821    4.9                 4.6                 
Vardas8359     Pavarde8359    4.9                 4.6                 
Vardas6868     Pavarde6868    4.9                 5                   
Vardas3565     Pavarde3565    4.9                 4.6                 
Vardas9154     Pavarde9154    4.9                 5.4                 
Vardas6683     Pavarde6683    4.9                 5.4                 
Vardas3346     Pavarde3346    4.9                 4.6                 
Vardas6877     Pavarde6877    4.9                 5                   
Vardas1396     Pavarde1396    4.9                 4.6                 
Vardas7953     Pavarde7953    4.9                 4.6                 
Vardas9525     Pavarde9525    4.9                 4.2                 
Vardas5299     Pavarde5299    4.9                 5.4                 
Vardas6838     Pavarde6838    4.9                 5.8                 
Vardas7066     Pavarde7066    4.9                 4.6                 
Vardas7934     Pavarde7934    4.9                 5                   
Vardas2205     Pavarde2205    4.9                 5                   
Vardas6484     Pavarde6484    4.9                 5                   
Vardas8629     Pavarde8629    4.9                 5                   
Vardas779      Pavarde779     4.9                 4.6                 
Vardas5363     Pavarde5363    4.9                 5                   
Vardas4901     Pavarde4901    4.9                 4.6                 
Vardas5473     Pavarde5473    4.9                 5                   
Vardas4450     Pavarde4450    4.9                 4.6                 
Vardas9177     Pavarde9177    4.9                 5.4                 
Vardas804      Pavarde804     4.9                 5                   
Vardas5327     Pavarde5327    4.9                 5.4                 
Vardas1842     Pavarde1842    4.9                 5                   
Vardas7330     Pavarde7330    4.9                 5.4                 
Vardas8342     Pavarde8342    4.9                 5                   
Vardas7086     Pavarde7086    4.9                 5                   
Vardas3609     Pavarde3609    4.9                 4.2                 
Vardas3385     Pavarde3385    4.9                 5.6                 
Vardas9349     Pavarde9349    4.9                 5.2                 
Vardas4108     Pavarde4108    4.9                 5.6                 
Vardas4115     Pavarde4115    4.9                 5.2                 
Vardas4396     Pavarde4396    4.9                 5.2                 
Vardas9263     Pavarde9263    4.9                 5.2                 
Vardas4572     Pavarde4572    4.9                 4.4                 
Vardas4648     Pavarde4648    4.9                 4.8                 
Vardas4801     Pavarde4801    4.9                 4.8                 
Vardas4827     Pavarde4827    4.9                 5.2                 
Vardas7500     Pavarde7500    4.9                 4.4                 
Vardas5472     Pavarde5472    4.9                 4.8                 
Vardas5578     Pavarde5578    4.9                 5.2                 
Vardas5729     Pavarde5729    4.9                 4.8                 
Vardas5943     Pavarde5943    4.9                 5.2                 
Vardas6112     Pavarde6112    4.9                 4.4                 
Vardas6134     Pavarde6134    4.9                 4.4                 
Vardas6356     Pavarde6356    4.9                 5.2                 
Vardas6393     Pavarde6393    4.9                 4.8                 
Vardas6493     Pavarde6493    4.9                 5.2                 
Vardas6545     Pavarde6545    4.9                 4.8                 
Vardas9566     Pavarde9566    4.9                 5.2                 
Vardas9382     Pavarde9382    4.9                 4.8                 
Vardas6703     Pavarde6703    4.9                 5.2                 
Vardas6776     Pavarde6776    4.9                 4.8                 
Vardas6932     Pavarde6932    4.9                 4.8                 
Vardas6958     Pavarde6958    4.9                 5.2                 
Vardas6986     Pavarde6986    4.9                 5.2                 
Vardas7163     Pavarde7163    4.9                 5.2                 
Vardas7349     Pavarde7349    4.9                 5.2                 
Vardas7381     Pavarde7381    4.9                 6                   
Vardas8259     Pavarde8259    4.9                 5.2                 
Vardas157      Pavarde157     4.9                 4.8                 
Vardas208      Pavarde208     4.9                 5.2                 
Vardas250      Pavarde250     4.9                 5.2                 
Vardas337      Pavarde337     4.9                 4.8                 
Vardas528      Pavarde528     4.9                 5.2                 
Vardas757      Pavarde757     4.9                 5.2                 
Vardas1054     Pavarde1054    4.9                 4.8                 
Vardas1110     Pavarde1110    4.9                 5.2                 
Vardas1164     Pavarde1164    4.9                 5.2                 
Vardas1361     Pavarde1361    4.9                 5.2                 
Vardas1769     Pavarde1769    4.9                 5.2                 
Vardas1828     Pavarde1828    4.9                 4.4                 
Vardas2035     Pavarde2035    4.9                 4.8                 
Vardas2440     Pavarde2440    4.9                 5.2                 
Vardas2451     Pavarde2451    4.9                 5.2                 
Vardas2502     Pavarde2502    4.9                 4.4                 
Vardas2637     Pavarde2637    4.9                 4.8                 
Vardas2878     Pavarde2878    4.9                 5.2                 
Vardas3098     Pavarde3098    4.9                 4.8                 
Vardas3200     Pavarde3200    4.9                 5.6                 
Vardas8649     Pavarde8649    4.9                 5.2                 
Vardas3352     Pavarde3352    4.9                 5.6                 
Vardas3032     Pavarde3032    4.9                 4.4                 
Vardas1223     Pavarde1223    4.9                 4.4                 
Vardas7495     Pavarde7495    4.9                 4.8                 
Vardas2490     Pavarde2490    4.9                 4.4                 
Vardas783      Pavarde783     4.9                 4.8                 
Vardas7847     Pavarde7847    4.9                 5.2                 
Vardas5961     Pavarde5961    4.9                 4.4                 
Vardas3594     Pavarde3594    4.9                 5.2                 
Vardas6121     Pavarde6121    4.9                 4.4                 
Vardas217      Pavarde217     4.9                 4.4                 
Vardas4173     Pavarde4173    4.9                 4.8                 
Vardas1795     Pavarde1795    4.9                 4.4                 
Vardas9050     Pavarde9050    4.9                 4.4                 
Vardas9468     Pavarde9468    4.9                 4.4                 
Vardas6150     Pavarde6150    4.9                 5.2                 
Vardas6077     Pavarde6077    4.8                 4.6                 
Vardas643      Pavarde643     4.8                 5                   
Vardas2995     Pavarde2995    4.8                 5                   
Vardas7280     Pavarde7280    4.8                 4.2                 
Vardas6891     Pavarde6891    4.8                 4.6                 
Vardas7841     Pavarde7841    4.8                 3.8                 
Vardas1210     Pavarde1210    4.8                 5                   
Vardas8891     Pavarde8891    4.8                 4.6                 
Vardas1153     Pavarde1153    4.8                 5                   
Vardas2422     Pavarde2422    4.8                 5                   
Vardas4222     Pavarde4222    4.8                 4.6                 
Vardas3661     Pavarde3661    4.8                 5                   
Vardas3525     Pavarde3525    4.8                 5                   
Vardas8676     Pavarde8676    4.8                 4.2                 
Vardas8680     Pavarde8680    4.8                 4.2                 
Vardas8504     Pavarde8504    4.8                 5.4                 
Vardas1671     Pavarde1671    4.8                 4.6                 
Vardas9907     Pavarde9907    4.8                 5.4                 
Vardas7117     Pavarde7117    4.8                 4.2                 
Vardas2063     Pavarde2063    4.8                 4.6                 
Vardas3389     Pavarde3389    4.8                 5.4                 
Vardas2458     Pavarde2458    4.8                 4.2                 
Vardas412      Pavarde412     4.8                 5                   
Vardas3252     Pavarde3252    4.8                 4.6                 
Vardas3251     Pavarde3251    4.8                 4.6                 
Vardas8347     Pavarde8347    4.8                 5                   
Vardas2488     Pavarde2488    4.8                 4.6                 
Vardas3082     Pavarde3082    4.8                 5                   
Vardas9431     Pavarde9431    4.8                 5                   
Vardas121      Pavarde121     4.8                 5.4                 
Vardas3512     Pavarde3512    4.8                 5                   
Vardas9091     Pavarde9091    4.8                 5.4                 
Vardas6304     Pavarde6304    4.8                 5                   
Vardas7939     Pavarde7939    4.8                 5                   
Vardas710      Pavarde710     4.8                 5                   
Vardas131      Pavarde131     4.8                 5                   
Vardas1902     Pavarde1902    4.8                 5.4                 
Vardas4985     Pavarde4985    4.8                 5                   
Vardas544      Pavarde544     4.8                 4.6                 
Vardas1920     Pavarde1920    4.8                 4.6                 
Vardas2715     Pavarde2715    4.8                 5                   
Vardas5799     Pavarde5799    4.8                 4.6                 
Vardas7671     Pavarde7671    4.8                 4.6                 
Vardas5574     Pavarde5574    4.8                 4.6                 
Vardas7073     Pavarde7073    4.8                 4.6                 
Vardas163      Pavarde163     4.8                 5.4                 
Vardas1561     Pavarde1561    4.8                 4.2                 
Vardas8277     Pavarde8277    4.8                 4.6                 
Vardas7704     Pavarde7704    4.8                 5.4                 
Vardas9723     Pavarde9723    4.8                 5.4                 
Vardas3772     Pavarde3772    4.8                 5.4                 
Vardas6574     Pavarde6574    4.8                 4.2                 
Vardas4073     Pavarde4073    4.8                 5.4                 
Vardas9838     Pavarde9838    4.8                 5.8                 
Vardas4078     Pavarde4078    4.8                 4.6                 
Vardas8242     Pavarde8242    4.8                 4.6                 
Vardas5851     Pavarde5851    4.8                 4.6                 
Vardas5358     Pavarde5358    4.8                 3.8                 
Vardas957      Pavarde957     4.8                 5                   
Vardas3716     Pavarde3716    4.8                 5.4                 
Vardas1791     Pavarde1791    4.8                 4.2                 
Vardas313      Pavarde313     4.8                 5                   
Vardas7042     Pavarde7042    4.8                 4.6                 
Vardas2029     Pavarde2029    4.8                 4.6                 
Vardas4319     Pavarde4319    4.8                 5                   
Vardas2859     Pavarde2859    4.8                 4.6                 
Vardas6585     Pavarde6585    4.8                 5                   
Vardas6139     Pavarde6139    4.8                 5                   
Vardas2850     Pavarde2850    4.8                 4.2                 
Vardas5610     Pavarde5610    4.8                 4.2                 
Vardas4770     Pavarde4770    4.8                 4.6                 
Vardas8601     Pavarde8601    4.8                 4.6                 
Vardas7393     Pavarde7393    4.8                 5.4                 
Vardas4541     Pavarde4541    4.8                 5.4                 
Vardas2774     Pavarde2774    4.8                 5                   
Vardas4810     Pavarde4810    4.8                 4.2                 
Vardas5320     Pavarde5320    4.8                 4.6                 
Vardas1414     Pavarde1414    4.8                 4.6                 
Vardas8987     Pavarde8987    4.8                 4.6                 
Vardas4841     Pavarde4841    4.8                 3.8                 
Vardas6415     Pavarde6415    4.8                 4.2                 
Vardas7490     Pavarde7490    4.8                 5.4                 
Vardas2915     Pavarde2915    4.8                 5                   
Vardas3701     Pavarde3701    4.8                 5                   
Vardas895      Pavarde895     4.8                 4.2                 
Vardas2016     Pavarde2016    4.8                 5                   
Vardas3294     Pavarde3294    4.8                 5                   
Vardas9620     Pavarde9620    4.8                 5                   
Vardas8525     Pavarde8525    4.8                 4.6                 
Vardas5709     Pavarde5709    4.8                 4.8                 
Vardas9498     Pavarde9498    4.8                 4.8                 
Vardas1596     Pavarde1596    4.8                 5.2                 
Vardas6028     Pavarde6028    4.8                 5.2                 
Vardas1091     Pavarde1091    4.8                 5.2                 
Vardas5271     Pavarde5271    4.8                 4.4                 
Vardas8386     Pavarde8386    4.8                 5.6                 
Vardas8663     Pavarde8663    4.8                 4.8                 
Vardas1152     Pavarde1152    4.8                 4.8                 
Vardas1237     Pavarde1237    4.8                 5.2                 
Vardas1292     Pavarde1292    4.8                 4.8                 
Vardas8735     Pavarde8735    4.8                 4.4                 
Vardas2952     Pavarde2952    4.8                 4.4                 
Vardas1854     Pavarde1854    4.8                 4.8                 
Vardas1657     Pavarde1657    4.8                 4.8                 
Vardas7464     Pavarde7464    4.8                 5.2                 
Vardas5488     Pavarde5488    4.8                 4.8                 
Vardas4274     Pavarde4274    4.8                 4.8                 
Vardas9105     Pavarde9105    4.8                 4.8                 
Vardas5249     Pavarde5249    4.8                 5.2                 
Vardas2317     Pavarde2317    4.8                 5.6                 
Vardas9101     Pavarde9101    4.8                 5.2                 
Vardas2667     Pavarde2667    4.8                 4.8                 
Vardas3703     Pavarde3703    4.8                 4.8                 
Vardas2167     Pavarde2167    4.8                 5.2                 
Vardas9829     Pavarde9829    4.8                 5.2                 
Vardas3239     Pavarde3239    4.8                 5.6                 
Vardas5959     Pavarde5959    4.8                 5.2                 
Vardas5369     Pavarde5369    4.8                 4.4                 
Vardas4214     Pavarde4214    4.8                 5.6                 
Vardas9028     Pavarde9028    4.8                 4.4                 
Vardas8125     Pavarde8125    4.8                 4.8                 
Vardas1877     Pavarde1877    4.8                 4.8                 
Vardas2594     Pavarde2594    4.8                 5.2                 
Vardas3187     Pavarde3187    4.8                 4.4                 
Vardas9934     Pavarde9934    4.8                 5.2                 
Vardas2719     Pavarde2719    4.8                 4.4                 
Vardas833      Pavarde833     4.8                 4.8                 
Vardas9759     Pavarde9759    4.8                 5.6                 
Vardas9317     Pavarde9317    4.8                 4.4                 
Vardas6884     Pavarde6884    4.8                 4.8                 
Vardas3140     Pavarde3140    4.8                 4.8                 
Vardas225      Pavarde225     4.8                 4.4                 
Vardas6113     Pavarde6113    4.8                 4.4                 
Vardas3104     Pavarde3104    4.8                 5.2                 
Vardas5554     Pavarde5554    4.8                 5.6                 
Vardas1835     Pavarde1835    4.8                 5.2                 
Vardas7677     Pavarde7677    4.8                 5.2                 
Vardas1053     Pavarde1053    4.8                 5.6                 
Vardas1745     Pavarde1745    4.8                 4.8                 
Vardas8911     Pavarde8911    4.8                 4.8                 
Vardas4881     Pavarde4881    4.8                 4.8                 
Vardas7949     Pavarde7949    4.8                 4.8                 
Vardas2504     Pavarde2504    4.8                 5.2                 
Vardas9020     Pavarde9020    4.8                 4                   
Vardas6809     Pavarde6809    4.8                 4.8                 
Vardas7897     Pavarde7897    4.8                 4.4                 
Vardas4660     Pavarde4660    4.8                 4.8                 
Vardas7360     Pavarde7360    4.8                 4.8                 
Vardas2796     Pavarde2796    4.8                 4.4                 
Vardas5234     Pavarde5234    4.8                 4.4                 
Vardas8389     Pavarde8389    4.8                 4.8                 
Vardas2308     Pavarde2308    4.8                 5                   
Vardas7014     Pavarde7014    4.8                 5                   
Vardas7906     Pavarde7906    4.8                 4.2                 
Vardas5015     Pavarde5015    4.8                 4.2                 
Vardas7118     Pavarde7118    4.8                 5                   
Vardas7705     Pavarde7705    4.8                 5.4                 
Vardas6089     Pavarde6089    4.8                 5                   
Vardas2470     Pavarde2470    4.8                 4.6                 
Vardas9029     Pavarde9029    4.8                 3.8                 
Vardas5040     Pavarde5040    4.8                 4.6                 
Vardas6606     Pavarde6606    4.8                 4.2                 
Vardas9884     Pavarde9884    4.8                 4.6                 
Vardas1233     Pavarde1233    4.8                 5                   
Vardas3967     Pavarde3967    4.8                 4.6                 
Vardas5997     Pavarde5997    4.8                 5                   
Vardas5866     Pavarde5866    4.8                 4.6                 
Vardas3038     Pavarde3038    4.8                 4.2                 
Vardas4562     Pavarde4562    4.8                 4.6                 
Vardas2981     Pavarde2981    4.8                 3.8                 
Vardas7004     Pavarde7004    4.8                 4.2                 
Vardas2706     Pavarde2706    4.8                 5                   
Vardas7241     Pavarde7241    4.8                 4.6                 
Vardas1020     Pavarde1020    4.8                 5                   
Vardas5021     Pavarde5021    4.8                 5                   
Vardas5067     Pavarde5067    4.8                 5.4                 
Vardas4851     Pavarde4851    4.8                 3.8                 
Vardas509      Pavarde509     4.8                 4.6                 
Vardas4560     Pavarde4560    4.8                 5.4                 
Vardas5077     Pavarde5077    4.8                 5.4                 
Vardas8840     Pavarde8840    4.8                 5                   
Vardas9506     Pavarde9506    4.8                 5                   
Vardas6727     Pavarde6727    4.8                 4.6                 
Vardas8714     Pavarde8714    4.8                 5                   
Vardas9631     Pavarde9631    4.8                 4.6                 
Vardas9180     Pavarde9180    4.8                 4.6                 
Vardas6724     Pavarde6724    4.8                 4.2                 
Vardas2368     Pavarde2368    4.8                 5                   
Vardas7025     Pavarde7025    4.8                 5                   
Vardas2929     Pavarde2929    4.8                 4.6                 
Vardas2633     Pavarde2633    4.8                 5                   
Vardas3        Pavarde3       4.8                 4.2                 
Vardas2312     Pavarde2312    4.8                 5                   
Vardas2905     Pavarde2905    4.8                 5.4                 
Vardas4999     Pavarde4999    4.8                 4.6                 
Vardas1975     Pavarde1975    4.8                 5                   
Vardas4545     Pavarde4545    4.8                 4.2                 
Vardas5463     Pavarde5463    4.8                 5                   
Vardas7936     Pavarde7936    4.8                 4.2                 
Vardas3748     Pavarde3748    4.8                 4.6                 
Vardas9680     Pavarde9680    4.8                 4.2                 
Vardas6242     Pavarde6242    4.8                 4.6                 
Vardas2885     Pavarde2885    4.8                 4.2                 
Vardas1505     Pavarde1505    4.8                 4.6                 
Vardas1132     Pavarde1132    4.8                 5.4                 
Vardas9465     Pavarde9465    4.8                 5.8                 
Vardas3612     Pavarde3612    4.8                 4.6                 
Vardas9124     Pavarde9124    4.8                 5                   
Vardas8633     Pavarde8633    4.8                 4.6                 
Vardas8766     Pavarde8766    4.8                 4.6                 
Vardas8864     Pavarde8864    4.8                 5                   
Vardas6263     Pavarde6263    4.8                 5                   
Vardas4753     Pavarde4753    4.8                 5                   
Vardas5576     Pavarde5576    4.8                 5                   
Vardas6698     Pavarde6698    4.8                 5                   
Vardas2749     Pavarde2749    4.7                 5.2                 
Vardas9544     Pavarde9544    4.7                 4.8                 
Vardas5199     Pavarde5199    4.7                 5.2                 
Vardas686      Pavarde686     4.7                 4.8                 
Vardas7792     Pavarde7792    4.7                 4                   
Vardas8675     Pavarde8675    4.7                 4.8                 
Vardas9997     Pavarde9997    4.7                 4.8                 
Vardas4680     Pavarde4680    4.7                 4.8                 
Vardas8122     Pavarde8122    4.7                 4.8                 
Vardas6003     Pavarde6003    4.7                 5.6                 
Vardas6961     Pavarde6961    4.7                 4.4                 
Vardas8272     Pavarde8272    4.7                 5.2                 
Vardas4657     Pavarde4657    4.7                 4.8                 
Vardas3517     Pavarde3517    4.7                 5.2                 
Vardas1741     Pavarde1741    4.7                 4.8                 
Vardas6458     Pavarde6458    4.7                 4.8                 
Vardas4000     Pavarde4000    4.7                 4.8                 
Vardas484      Pavarde484     4.7                 4.8                 
Vardas7194     Pavarde7194    4.7                 4.8                 
Vardas5430     Pavarde5430    4.7                 4.8                 
Vardas1784     Pavarde1784    4.7                 5.2                 
Vardas990      Pavarde990     4.7                 4.8                 
Vardas1801     Pavarde1801    4.7                 4.4                 
Vardas1804     Pavarde1804    4.7                 5.2                 
Vardas466      Pavarde466     4.7                 4.8                 
Vardas7154     Pavarde7154    4.7                 4.4                 
Vardas4608     Pavarde4608    4.7                 5.6                 
Vardas141      Pavarde141     4.7                 4.4                 
Vardas6073     Pavarde6073    4.7                 4.4                 
Vardas6747     Pavarde6747    4.7                 4.4                 
Vardas8457     Pavarde8457    4.7                 4.8                 
Vardas2546     Pavarde2546    4.7                 4.4                 
Vardas6365     Pavarde6365    4.7                 5.2                 
Vardas3400     Pavarde3400    4.7                 4.4                 
Vardas6369     Pavarde6369    4.7                 4.8                 
Vardas2499     Pavarde2499    4.7                 4.4                 
Vardas8466     Pavarde8466    4.7                 5.2                 
Vardas1750     Pavarde1750    4.7                 4.8                 
Vardas2013     Pavarde2013    4.7                 5.6                 
Vardas7130     Pavarde7130    4.7                 4                   
Vardas6765     Pavarde6765    4.7                 4.4                 
Vardas4986     Pavarde4986    4.7                 4.8                 
Vardas8480     Pavarde8480    4.7                 4.8                 
Vardas4906     Pavarde4906    4.7                 4.4                 
Vardas6940     Pavarde6940    4.7                 4                   
Vardas6392     Pavarde6392    4.7                 4.4                 
Vardas5846     Pavarde5846    4.7                 4.4                 
Vardas1367     Pavarde1367    4.7                 4.8                 
Vardas7890     Pavarde7890    4.7                 4.8                 
Vardas5975     Pavarde5975    4.7                 4.8                 
Vardas2932     Pavarde2932    4.7                 4.8                 
Vardas9316     Pavarde9316    4.7                 5.2                 
Vardas5102     Pavarde5102    4.7                 4.4                 
Vardas3665     Pavarde3665    4.7                 4.8                 
Vardas259      Pavarde259     4.7                 5.2                 
Vardas3887     Pavarde3887    4.7                 4.4                 
Vardas3457     Pavarde3457    4.7                 4.4                 
Vardas6296     Pavarde6296    4.7                 4.4                 
Vardas9588     Pavarde9588    4.7                 4                   
Vardas8553     Pavarde8553    4.7                 4.4                 
Vardas8572     Pavarde8572    4.7                 4.8                 
Vardas972      Pavarde972     4.7                 4.8                 
Vardas7378     Pavarde7378    4.7                 4.4                 
Vardas3369     Pavarde3369    4.7                 4.8                 
Vardas6904     Pavarde6904    4.7                 4.8                 
Vardas34       Pavarde34      4.7                 4.8                 
Vardas3432     Pavarde3432    4.7                 5.2                 
Vardas5266     Pavarde5266    4.7                 4.8                 
Vardas4060     Pavarde4060    4.7                 4.8                 
Vardas4761     Pavarde4761    4.7                 5.2                 
Vardas6450     Pavarde6450    4.7                 5.2                 
Vardas6634     Pavarde6634    4.7                 4.4                 
Vardas5833     Pavarde5833    4.7                 4.4                 
Vardas3055     Pavarde3055    4.7                 4.8                 
Vardas9783     Pavarde9783    4.7                 4.8                 
Vardas5110     Pavarde5110    4.7                 4.8                 
Vardas915      Pavarde915     4.7                 4.6                 
Vardas1752     Pavarde1752    4.7                 4.6                 
Vardas5428     Pavarde5428    4.7                 4.2                 
Vardas5510     Pavarde5510    4.7                 4.2                 
Vardas1790     Pavarde1790    4.7                 5                   
Vardas6044     Pavarde6044    4.7                 4.2                 
Vardas4457     Pavarde4457    4.7                 5                   
Vardas947      Pavarde947     4.7                 4.6                 
Vardas1818     Pavarde1818    4.7                 5                   
Vardas9186     Pavarde9186    4.7                 4.6                 
Vardas2039     Pavarde2039    4.7                 4.6                 
Vardas4042     Pavarde4042    4.7                 5.4                 
Vardas1325     Pavarde1325    4.7                 4.6                 
Vardas4133     Pavarde4133    4.7                 5                   
Vardas3425     Pavarde3425    4.7                 5                   
Vardas9931     Pavarde9931    4.7                 4.6                 
Vardas3630     Pavarde3630    4.7                 5                   
Vardas2948     Pavarde2948    4.7                 3.8                 
Vardas1364     Pavarde1364    4.7                 4.6                 
Vardas5920     Pavarde5920    4.7                 3.8                 
Vardas7100     Pavarde7100    4.7                 4.6                 
Vardas1915     Pavarde1915    4.7                 4.2                 
Vardas591      Pavarde591     4.7                 5.4                 
Vardas188      Pavarde188     4.7                 4.2                 
Vardas8152     Pavarde8152    4.7                 4.6                 
Vardas8158     Pavarde8158    4.7                 4.6                 
Vardas6279     Pavarde6279    4.7                 4.6                 
Vardas7026     Pavarde7026    4.7                 4.6                 
Vardas6251     Pavarde6251    4.7                 5                   
Vardas4113     Pavarde4113    4.7                 4.6                 
Vardas5884     Pavarde5884    4.7                 4.2                 
Vardas7434     Pavarde7434    4.7                 4.6                 
Vardas8814     Pavarde8814    4.7                 4.6                 
Vardas5619     Pavarde5619    4.7                 4.2                 
Vardas538      Pavarde538     4.7                 4.6                 
Vardas3797     Pavarde3797    4.7                 4.6                 
Vardas7930     Pavarde7930    4.7                 4.6                 
Vardas3089     Pavarde3089    4.7                 5                   
Vardas4483     Pavarde4483    4.7                 5                   
Vardas5623     Pavarde5623    4.7                 5                   
Vardas5879     Pavarde5879    4.7                 4.6                 
Vardas3061     Pavarde3061    4.7                 4.6                 
Vardas16       Pavarde16      4.7                 4.6                 
Vardas9679     Pavarde9679    4.7                 5                   
Vardas653      Pavarde653     4.7                 4.6                 
Vardas1493     Pavarde1493    4.7                 5                   
Vardas9254     Pavarde9254    4.7                 5                   
Vardas7584     Pavarde7584    4.7                 4.6                 
Vardas4478     Pavarde4478    4.7                 5                   
Vardas3007     Pavarde3007    4.7                 5.8                 
Vardas5455     Pavarde5455    4.7                 4.6                 
Vardas7549     Pavarde7549    4.7                 3.8                 
Vardas4665     Pavarde4665    4.7                 4.6                 
Vardas7924     Pavarde7924    4.7                 5                   
Vardas2094     Pavarde2094    4.7                 5.4                 
Vardas1273     Pavarde1273    4.7                 4.2                 
Vardas1708     Pavarde1708    4.7                 4.6                 
Vardas7229     Pavarde7229    4.7                 5.4                 
Vardas9830     Pavarde9830    4.6                 5.2                 
Vardas1693     Pavarde1693    4.6                 5.2                 
Vardas4664     Pavarde4664    4.6                 5.2                 
Vardas615      Pavarde615     4.6                 4.8                 
